,city,state,shape,month,day,year,time,latitude,longitude ,duration (seconds),Airport Name,Airport Lat,Airport Lng
32251,los angeles,ca,disk,3,18,2012,18:00,34.0522222,-118.2427778,60,Los Angeles County Mens Detention Center - Main Jail Heliport,34.0602889,-118.2304514
32253,chicago,il,light,3,18,2012,19:40,41.85,-87.65,60,helipad,41.8624053,-87.666196
32260,seattle,wa,fireball,3,18,2012,20:45,47.6063889,-122.33083329999998,120,Port of Seattle,47.6138103,-122.3542749
32428,phoenix,az,unknown,3,19,2012,20:00,33.4483333,-112.07333329999999,300,Phoenix Mesa,33.44812590000001,-112.0740731
32772,phoenix,az,unknown,3,21,2012,5:00,33.4483333,-112.07333329999999,0.3,Phoenix Mesa,33.44812590000001,-112.0740731
32784,las vegas,nv,circle,3,21,2012,21:25,36.175,-115.1363889,600,Valley Hospital Medical Center Heliport,36.16337719999999,-115.1665905
32929,seattle,wa,light,3,2,2012,23:30,47.6063889,-122.33083329999998,120,Port of Seattle,47.6138103,-122.3542749
33074,houston,tx,circle,3,22,2012,7:45,29.7630556,-95.3630556,900,Yellow Cab Houston,29.7895795,-95.35374739999999
33076,las vegas,nv,cigar,3,22,2012,12:10,36.175,-115.1363889,120,Valley Hospital Medical Center Heliport,36.16337719999999,-115.1665905
34076,los angeles,ca,changing,3,29,2012,4:00,34.0522222,-118.2427778,300,Los Angeles County Mens Detention Center - Main Jail Heliport,34.0602889,-118.2304514
34414,miami,fl,changing,3,31,2012,7:00,25.7738889,-80.1938889,1800,Ferrari Express,25.7750635,-80.19280119999999
34559,miami,fl,light,3,3,2012,1:10,25.7738889,-80.1938889,600,Ferrari Express,25.7750635,-80.19280119999999
35246,chicago,il,light,3,7,2012,22:30,41.85,-87.65,900,helipad,41.8624053,-87.666196
35559,phoenix,az,light,3,9,2012,7:20,33.4483333,-112.07333329999999,720,Phoenix Mesa,33.44812590000001,-112.0740731
35767,miami,fl,light,4,10,2012,20:51,25.7738889,-80.1938889,4,Ferrari Express,25.7750635,-80.19280119999999
36727,portland,or,unknown,4,14,2012,1:47,45.5236111,-122.675,60,PGE Service Center Heliport,45.4958241,-122.6478189
37495,las vegas,nv,changing,4,17,2012,23:00,36.175,-115.1363889,240,Valley Hospital Medical Center Heliport,36.16337719999999,-115.1665905
37496,las vegas,nv,circle,4,17,2012,23:00,36.175,-115.1363889,300,Valley Hospital Medical Center Heliport,36.16337719999999,-115.1665905
37801,las vegas,nv,light,4,19,2012,19:45,36.175,-115.1363889,900,Valley Hospital Medical Center Heliport,36.16337719999999,-115.1665905
38206,seattle,wa,disk,4,21,2012,12:40,47.6063889,-122.33083329999998,1,Port of Seattle,47.6138103,-122.3542749
38213,las vegas,nv,circle,4,21,2012,21:00,36.175,-115.1363889,240,Valley Hospital Medical Center Heliport,36.16337719999999,-115.1665905
38223,portland,or,light,4,21,2012,22:35,45.5236111,-122.675,15,PGE Service Center Heliport,45.4958241,-122.6478189
38547,san diego,ca,light,4,22,2012,18:00,32.7152778,-117.1563889,1200,San Diego International Airport,32.7338006,-117.1933038
